Country Name,2018,2019,2020
Aruba,,,
Africa Eastern and Southern,4.376514198,4.190261136,3.97562668
Afghanistan,7.9,7.5,7.2
Africa Western and Central,1.397320505,1.291968621,1.224887791
Angola,,,
Albania,6.4,6.2,6
Andorra,28.5,28.3,28.3
Arab World,2.733666392,2.624175061,2.540853166
United Arab Emirates,,,
Argentina,20.3,19.9,19.6
Armenia,1.6,1.5,1.5
American Samoa,,,
Antigua and Barbuda,,,
Australia,12.2,11.9,11.5
Austria,26.6,25.6,25
Azerbaijan,0.1,0.1,0.1
Burundi,6.7,6.4,6.1
Belgium,21.6,21.4,21
Benin,2.1,2,1.9
Burkina Faso,7.3,6.9,6.4
Bangladesh,18.8,17.9,17.1
Bulgaria,37,37.1,37.1
Bahrain,4.8,4.6,4.5
"Bahamas, The",2.6,2.5,2.4
Bosnia and Herzegovina,28.8,28.3,28
Belarus,13.7,13.6,13.5
Belize,1.9,1.9,1.8
Bermuda,,,
Bolivia,5.8,5.3,4.8
Brazil,10.1,9.7,9.4
Barbados,2,1.9,1.9
Brunei Darussalam,2.5,2.4,2.3
Bhutan,,,
Botswana,9.3,8.9,8.3
Central African Republic,,,
Canada,11.8,11.3,10.7
Central Europe and the Baltics,24.19693073,23.99085868,23.71673868
Switzerland,23,23,22.9
Channel Islands,,,
Chile,28.1,27.5,26.8
China,1.8,1.7,1.7
Cote d'Ivoire,1,0.9,0.9
Cameroon,1.6,1.5,1.4
"Congo, Dem. Rep.",3.2,3.1,2.9
"Congo, Rep.",2.3,2.2,2.1
Colombia,4.8,4.7,4.6
Comoros,12.5,11.7,11.1
Cabo Verde,5.9,5.6,5.4
Costa Rica,4.9,4.8,4.6
Caribbean small states,,,
Cuba,11.5,10.9,10.3
Curacao,,,
Cayman Islands,,,
Cyprus,22.9,23.2,23.2
Czechia,26.7,26.5,26.4
Germany,20.9,20.4,19.9
Djibouti,,,
Dominica,,,
Denmark,18.4,17.8,17.1
Dominican Republic,7.1,6.8,6.5
Algeria,0.8,0.7,0.7
East Asia & Pacific (excluding high income),2.975679322,2.849168899,2.797881406
Early-demographic dividend,10.75372581,10.24900391,9.797390754
East Asia & Pacific,3.639326161,3.512681436,3.443235563
Europe & Central Asia (excluding high income),12.35757233,12.39927957,12.42690989
Europe & Central Asia,18.58576318,18.42650409,18.25279515
Ecuador,4.4,4.3,4.2
"Egypt, Arab Rep.",0.5,0.4,0.4
Euro area,24.21614282,24.06221834,23.83292843
Eritrea,0.2,0.2,0.2
Spain,27,26.9,26.7
Estonia,23.7,23.5,23
Ethiopia,1.4,1.4,1.3
European Union,23.9679747,23.77243304,23.50127005
Fragile and conflict affected situations,5.589601384,5.316743042,5.054529916
Finland,17,16.6,16.3
Fiji,10.9,10.6,10.5
France,31.7,31.9,31.9
Faroe Islands,,,
"Micronesia, Fed. Sts.",,,
Gabon,,,
United Kingdom,15,14.2,13.5
Georgia,6.9,7,7.1
Ghana,0.4,0.4,0.3
Gibraltar,,,
Guinea,,,
"Gambia, The",1,0.9,0.8
Guinea-Bissau,1,0.9,0.9
Equatorial Guinea,,,
Greece,31.9,31.2,30.5
Grenada,,,
Greenland,,,
Guatemala,1.7,1.6,1.6
Guam,,,
Guyana,2.6,2.5,2.4
High income,17.47151076,17.18576264,16.92763754
"Hong Kong SAR, China",,,
Honduras,,,
Heavily indebted poor countries (HIPC),3.700736153,3.533424931,3.342599449
Croatia,34.9,35.6,36.1
Haiti,3.4,3.2,3.1
Hungary,28,28,27.8
IBRD only,7.793651954,7.494080486,7.259073712
IDA & IBRD total,7.641101926,7.324519301,7.062497675
IDA total,7.06334786,6.692157208,6.341138478
IDA blend,4.464091165,4.239518465,4.039434408
Indonesia,3.9,3.8,3.7
IDA only,8.482865783,8.028497352,7.592781755
Isle of Man,,,
India,14.5,13.7,13
Not classified,,,
Ireland,20.3,19.7,19
"Iran, Islamic Rep.",3.4,3.3,3.1
Iraq,2.1,2,1.8
Iceland,13.1,12.5,12
Israel,14.2,13.9,13.5
Italy,19.6,19.6,19.5
Jamaica,4.1,3.9,3.8
Jordan,12.6,12.7,12.8
Japan,10.3,10.2,10
Kazakhstan,7.1,6.9,6.7
Kenya,3,2.9,2.7
Kyrgyz Republic,3.4,3.3,2.8
Cambodia,6.7,6.3,6
Kiribati,29.1,28.2,27.3
St. Kitts and Nevis,,,
"Korea, Rep.",6,6,5.9
Kuwait,2.4,2.3,2.2
Latin America & Caribbean (excluding high income),8.481142676,8.173572512,7.921220595
Lao PDR,11.5,10.9,10.3
Lebanon,29.4,29.2,28.9
Liberia,2.2,2.1,2
Libya,,,
St. Lucia,,,
Latin America & Caribbean,9.153455772,8.839493193,8.573887113
Least developed countries: UN classification,9.176486834,8.682868721,8.21086563
